prob_non_robust,prob_robust
9.59502243162442e-10,0.0012319220612102108
5.095714745201795e-10,0.00031506859032523363
6.885357168585183e-11,0.00016847965718503114
3.656668475760958e-11,4.308929092122865e-05
2.0781091969377006e-09,0.0007757995332276356
1.120160540977167e-09,0.00019841357907730245
6.183619412945978e-10,0.00024833060966352865
3.333148458709269e-10,6.35114652013228e-05
8.430581364020649e-11,0.0001519737894886596
1.4503907404928191e-10,8.140923910574057e-05
1.523369544844039e-11,3.2255853591480934e-05
2.6207932606166484e-11,1.7278798577201927e-05
1.8259122157296285e-10,9.57050763684789e-05
3.1883073479113627e-10,5.12672446474466e-05
1.3681116694377537e-10,4.754351903027061e-05
2.3889212476124605e-10,2.5468087106905003e-05
2.569784211934958e-10,0.00040405662455041504
1.7232969075098898e-10,0.00010333896527805461
1.844068867108191e-11,5.525943866994247e-05
1.2366323059981723e-11,1.413280433244198e-05
5.565690172194018e-10,0.0002544535491277785
3.7882206769879146e-10,6.507742945051618e-05
1.6561261480357718e-10,8.144965584480334e-05
1.1272225229196169e-10,2.0831048535885195e-05
2.257918107131039e-11,4.9845699118821965e-05
4.9050113727927736e-11,2.670131771807789e-05
4.079960243115344e-12,1.0579558345892998e-05
8.863143144926135e-12,5.667252214423496e-06
4.8902443092744235e-11,3.13901920644221e-05
1.0782393574954963e-10,1.6815081468626198e-05
3.6641412704752734e-11,1.5593741214235457e-05
8.078985587196965e-11,8.353247039072253e-06
2.877929570709865e-10,0.00029293629007720487
1.3369387502327888e-10,7.491953174299056e-05
7.595138838773915e-11,8.002003693336053e-05
3.528312690588298e-11,2.0465418250241927e-05
2.255287049528005e-10,0.0001557031311490285
1.0633738282207469e-10,3.9821647476754195e-05
2.4680348618666486e-10,9.954957719760872e-05
1.1636849862613516e-10,2.54601698782076e-05
2.5286672937650353e-11,3.6137544316763005e-05
3.805322081204717e-11,1.9358140610142446e-05
1.680407117969134e-11,1.53200370824158e-05
2.5287985996372543e-11,8.206629354624776e-06
1.9815879645681016e-11,1.9208029161132052e-05
3.026675611279143e-11,1.028934689323732e-05
5.4604707528245786e-11,1.9059016624502042e-05
8.340317941565306e-11,1.0209523936495321e-05
1.1256194826077225e-10,0.00010007943673084149
6.602787021753392e-11,2.5595683399283837e-05
2.970620385239578e-11,2.7338231877522664e-05
1.7425403548253563e-11,6.991853178742348e-06
8.820907459508971e-11,5.319478053919579e-05
5.2517221982125973e-11,1.3604760434828137e-05
9.653009415330952e-11,3.401034952038322e-05
5.747132487077556e-11,8.69827176349849e-06
9.890155755940863e-12,1.2346114846693399e-05
1.8793479691567853e-11,6.613560265643035e-06
6.572429742372733e-12,5.233973166997129e-06
1.2489067708902627e-11,2.803731975485779e-06
7.750412109177022e-12,6.5622758404192045e-06
1.4947950638525256e-11,3.5152764484455933e-06
2.1357062820939426e-11,6.511366850181652e-06
4.1190625264078303e-11,3.4880055475038637e-06
1.6398599957910332e-10,0.0002696566206530273
1.2496482283952228e-10,7.957528899644819e-05
1.6321027197243576e-11,4.144175012097554e-05
1.2437368296668103e-11,1.222940209815389e-05
7.666987131863057e-10,0.0002737054679187017
5.930052418439451e-10,8.077009812254431e-05
3.164166729569516e-10,9.84525517560905e-05
2.447333515019187e-10,2.9053209372186605e-05
4.103214084881987e-11,6.493714011920776e-05
1.0129163083233182e-10,4.01368624903138e-05
1.028329179728954e-11,1.5488015230171472e-05
2.5385255921935548e-11,9.572955267203138e-06
1.918413137024796e-10,6.591215998549408e-05
4.806670123129841e-10,4.0739510500783963e-05
1.9936275690376868e-10,3.679464830988845e-05
4.995123254630578e-10,2.274232799415539e-05
4.391950469108045e-11,8.844434835568854e-05
4.226129277539493e-11,2.609980264331201e-05
4.371174566075191e-12,1.35924294211384e-05
4.206137783397658e-12,4.0111067799171806e-06
2.053408694453099e-10,8.97723248657298e-05
2.005457821925947e-10,2.6491686641231623e-05
8.474420735878316e-11,3.2291333188612307e-05
8.276527413645204e-11,9.52912694797425e-06
1.098942170136615e-11,2.1298653925191105e-05
3.425536218140058e-11,1.3164440907851434e-05
2.754119763211546e-12,5.079895353721289e-06
8.584925808064715e-12,3.1398220017574567e-06
5.137984644252983e-11,2.161844951003048e-05
1.6255462035840097e-10,1.3362102698779494e-05
5.339427487428953e-11,1.2068232127451353e-05
1.6892783226221886e-10,7.459228609567717e-06
7.897545264143697e-11,7.307300618405346e-05
5.2643573942754856e-11,2.1563741215971586e-05
2.8907325793668215e-11,2.2430828110968393e-05
1.9269087950853034e-11,6.619305786141573e-06
1.3360089918292553e-10,6.26018615982141e-05
9.03889652189076e-11,1.847372119523598e-05
2.0277718175183632e-10,4.497716570280035e-05
1.3719084033603094e-10,1.3272698257413601e-05
1.976102779932499e-11,1.7597016642922667e-05
4.2670835970790305e-11,1.0876503583930368e-05
1.8213465526594352e-11,8.383067954270513e-06
3.9329118294722316e-11,5.181473115536656e-06
3.3429261808160875e-11,1.5075416462914258e-05
7.326578382804277e-11,9.317932949394363e-06
1.2776260370047812e-10,1.6809305238832865e-05
2.800129825703174e-10,1.0389628673055537e-05
3.0888979718512805e-11,2.4964832104625753e-05
2.5999269356760994e-11,7.367086796024119e-06
1.130627011675476e-11,7.663320383283328e-06
9.516493094449072e-12,2.2614350528289096e-06
5.225415400875072e-11,2.1387445868861618e-05
4.4640720179081e-11,6.311405155894319e-06
7.931046983608289e-11,1.536610369476463e-05
6.775492893122149e-11,4.534515560193252e-06
7.728958385102697e-12,6.011885769778804e-06
2.1073997735965253e-11,3.7158740284238816e-06
7.123673856091553e-12,2.8640108697991806e-06
1.9423611725531825e-11,1.7702105488611093e-06
1.3074895495506768e-11,5.150400408545072e-06
3.618403360020467e-11,3.183400325119701e-06
4.997067243673922e-11,5.742770210190776e-06
1.382910089871974e-10,3.549536949375444e-06
