index,#_diseases,dataset_num,file_num,kl_div_z,kl_div,js_div_z,js_div,pow_div_z,pow_div
0,4,1,1,0.069561222,0.069561222,0.128663139,0.128663139,0.151255418,0.151255418
1,4,1,2,0.08536649,0.08536649,0.157290583,0.157290583,0.142427013,0.142427013
2,4,1,3,0.09117326,0.09117326,0.143828695,0.143828695,0.210944273,0.210944273
3,4,1,4,NaN,0.198338783,0.238662863,0.238661639,0.349178063,0.34917779
4,4,1,5,NaN,0.105050076,0.16997753,0.169973682,0.191521985,0.191511406
5,7,1,1,0.170703187,0.170703187,0.184556454,0.184556454,0.507978186,0.507978186
6,7,1,2,0.37426803,0.37426803,0.272726292,0.272726292,1.171275413,1.171275413
7,7,1,3,0.437927147,0.437927147,0.2778083,0.2778083,1.760210256,1.760210256
8,7,1,4,0.438205144,0.438205144,0.288522952,0.288522952,1.515447062,1.515447062
9,7,1,5,0.617196744,0.617196744,0.333012523,0.333012523,2.706239881,2.706239881
10,10,1,1,0.06951328,0.06951328,0.131424456,0.131424456,0.145973975,0.145973975
11,10,1,2,0.175840675,0.175840675,0.206140999,0.206140999,0.390691332,0.390691332
12,10,1,3,0.267564577,0.267564577,0.238359539,0.238359539,0.880874239,0.880874239
13,10,1,4,0.33503975,0.33503975,0.264000987,0.264000987,1.097401321,1.097401321
14,10,1,5,0.329449771,0.329449771,0.263679431,0.263679431,1.030535601,1.030535601
15,4,2,1,0.050470064,0.050470064,0.11175361,0.11175361,0.104784228,0.104784228
16,4,2,2,NaN,0.229057075,0.253261639,0.253277999,0.428081145,0.428174189
17,4,2,3,0.079602894,0.079602894,0.140599539,0.140599539,0.164406724,0.164406724
18,4,2,4,NaN,0.15119151,0.216406929,0.216411383,0.231207502,0.231240057
19,4,2,5,NaN,0.16494705,0.226454388,0.226452508,0.250040944,0.250029831
20,7,2,1,0.144497623,0.144497623,0.177067876,0.177067876,0.361790223,0.361790223
21,7,2,2,0.144468159,0.144468159,0.16713997,0.16713997,0.516937906,0.516937906
22,7,2,3,NaN,0.354338665,0.274386801,0.274381762,1.159038357,1.15884109
23,7,2,4,0.249707838,0.249707838,0.235805646,0.235805646,0.649324156,0.649324156
24,7,2,5,0.551473692,0.551473692,0.350462873,0.350462873,1.458143286,1.458143286
25,10,2,1,0.053963503,0.053963503,0.117614564,0.117614564,0.108433792,0.108433792
26,10,2,2,0.158505486,0.158505486,0.197604902,0.197604902,0.343256787,0.343256787
27,10,2,3,0.22254292,0.22254292,0.225718179,0.225718179,0.636304327,0.636304327
28,10,2,4,0.244469752,0.244469752,0.239266865,0.239266865,0.600502963,0.600502963
29,10,2,5,0.279130896,0.279130896,0.255038973,0.255038973,0.702770281,0.702770281
30,4,3,1,0.135099761,0.135099761,0.176477361,0.176477361,0.310063284,0.310063284
31,4,3,2,0.099835872,0.099835872,0.149928312,0.149928312,0.239892107,0.239892107
32,4,3,3,0.112871635,0.112871635,0.172579193,0.172579193,0.215637035,0.215637035
33,4,3,4,0.084436706,0.084436706,0.149750946,0.149750946,0.157780927,0.157780927
34,4,3,5,0.086176,0.086176,0.151385076,0.151385076,0.159942296,0.159942296
35,7,3,1,0.15534319,0.15534319,0.181487833,0.181487833,0.407628732,0.407628732
36,7,3,2,NaN,0.208910207,0.213088658,0.213085106,0.61987631,0.619837439
37,7,3,3,NaN,0.321192361,0.280197028,0.280196788,0.731544567,0.731525281
38,7,3,4,0.29922018,0.29922018,0.258827721,0.258827721,0.754579615,0.754579615
39,7,3,5,0.480186061,0.480186061,0.33283291,0.33283291,1.184296493,1.184296493
40,10,3,1,0.09057173,0.09057173,0.144751797,0.144751797,0.210749383,0.210749383
41,10,3,2,0.134496971,0.134496971,0.181082403,0.181082403,0.290189638,0.290189638
42,10,3,3,0.226619805,0.226619805,0.227443508,0.227443508,0.615705313,0.615705313
43,10,3,4,0.199317056,0.199317056,0.214332472,0.214332472,0.496738889,0.496738889
44,10,3,5,0.194793675,0.194793675,0.214255059,0.214255059,0.459279577,0.459279577
45,4,4,1,0.080262194,0.080262194,0.136936374,0.136936374,0.183166231,0.183166231
46,4,4,2,0.165986255,0.165986255,0.190239478,0.190239478,0.433769155,0.433769155
47,4,4,3,0.152322443,0.152322443,0.196660965,0.196660965,0.312684053,0.312684053
48,4,4,4,0.14271323,0.14271323,0.197871291,0.197871291,0.263164502,0.263164502
49,4,4,5,0.207510155,0.207510155,0.232057122,0.232057122,0.42117721,0.42117721
50,7,4,1,0.136641822,0.136641822,0.185451599,0.185451599,0.285598209,0.285598209
51,7,4,2,0.130053535,0.130053535,0.17861794,0.17861794,0.287720533,0.287720533
52,7,4,3,0.159241575,0.159241575,0.196961213,0.196961213,0.350179463,0.350179463
53,7,4,4,0.217071114,0.217071114,0.227072558,0.227072558,0.506680961,0.506680961
54,7,4,5,0.300199945,0.300199945,0.275688128,0.275688128,0.629795573,0.629795573
55,10,4,1,0.074703849,0.074703849,0.133397604,0.133397604,0.164444345,0.164444345
56,10,4,2,0.162783812,0.162783812,0.19719247,0.19719247,0.363251061,0.363251061
57,10,4,3,0.194267292,0.194267292,0.209698303,0.209698303,0.504655073,0.504655073
58,10,4,4,0.248798559,0.248798559,0.241178525,0.241178525,0.614916483,0.614916483
59,10,4,5,0.252709582,0.252709582,0.239773632,0.239773632,0.637283949,0.637283949
60,4,5,1,0.049728808,0.049728808,0.111221089,0.111221089,0.101670247,0.101670247
61,4,5,2,NaN,0.160879196,0.216600122,0.21659547,0.279601398,0.279528635
62,4,5,3,NaN,0.135182245,0.202044426,0.202012306,0.213026341,0.212965032
63,4,5,4,0.156087968,0.156087968,0.219245167,0.219245167,0.236744779,0.236744779
64,4,5,5,NaN,0.183588961,0.233526375,0.233521838,0.305798701,0.305784754
65,7,5,1,0.078384792,0.078384792,0.140002927,0.140002927,0.164396156,0.164396156
66,7,5,2,0.204823376,0.204823376,0.208188301,0.208188301,0.571977711,0.571977711
67,7,5,3,0.166349059,0.166349059,0.198866646,0.198866646,0.398712799,0.398712799
68,7,5,4,0.195997633,0.195997633,0.21094488,0.21094488,0.488124949,0.488124949
69,7,5,5,0.396991884,0.396991884,0.309225483,0.309225483,0.900061907,0.900061907
70,10,5,1,0.085662596,0.085662596,0.144599988,0.144599988,0.183851321,0.183851321
71,10,5,2,0.164152877,0.164152877,0.197919025,0.197919025,0.364023599,0.364023599
72,10,5,3,0.165984632,0.165984632,0.198818748,0.198818748,0.375411825,0.375411825
73,10,5,4,0.185496871,0.185496871,0.211439052,0.211439052,0.424260387,0.424260387
74,10,5,5,0.186371718,0.186371718,0.209715686,0.209715686,0.433489328,0.433489328
75,4,6,1,0.105355925,0.105355925,0.154431947,0.154431947,0.251580416,0.251580416
76,4,6,2,0.09164995,0.09164995,0.151895508,0.151895508,0.18776967,0.18776967
77,4,6,3,NaN,0.165833223,0.223368404,0.223373339,0.268433129,0.268462272
78,4,6,4,NaN,0.173578729,0.221260272,0.221265515,0.313236405,0.313271788
79,4,6,5,NaN,0.110828706,0.179353461,0.179382183,0.188723277,0.188852389
80,7,6,1,0.176468422,0.176468422,0.182683412,0.182683412,0.558547312,0.558547312
81,7,6,2,0.275601569,0.275601569,0.244768786,0.244768786,0.733755352,0.733755352
82,7,6,3,0.320350098,0.320350098,0.247272579,0.247272579,1.206395266,1.206395266
83,7,6,4,0.302952624,0.302952624,0.240564406,0.240564406,1.039781889,1.039781889
84,7,6,5,0.495503714,0.495503714,0.322978078,0.322978078,1.499114069,1.499114069
85,10,6,1,0.076001411,0.076001411,0.140616578,0.140616578,0.152376378,0.152376378
86,10,6,2,0.187916715,0.187916715,0.208332483,0.208332483,0.445340946,0.445340946
87,10,6,3,0.183242299,0.183242299,0.202843502,0.202843502,0.491180109,0.491180109
88,10,6,4,0.282139588,0.282139588,0.250747838,0.250747838,0.733580883,0.733580883
89,10,6,5,0.344176484,0.344176484,0.280699779,0.280699779,0.92959933,0.92959933
90,4,7,1,0.056235758,0.056235758,0.118571678,0.118571678,0.115937845,0.115937845
91,4,7,2,0.068181995,0.068181995,0.132924517,0.132924517,0.132563106,0.132563106
92,4,7,3,NaN,0.125853993,0.185987006,0.185989772,0.233051151,0.233051371
93,4,7,4,0.159825451,0.159825451,0.204975518,0.204975518,0.317672018,0.317672018
94,4,7,5,NaN,0.134003486,0.197567917,0.197557968,0.225131965,0.225116213
95,7,7,1,0.087308498,0.087308498,0.140111911,0.140111911,0.207784689,0.207784689
96,7,7,2,0.080274783,0.080274783,0.151719688,0.151719688,0.137672159,0.137672159
97,7,7,3,0.125875705,0.125875705,0.173938484,0.173938484,0.274887716,0.274887716
98,7,7,4,0.0540274,0.0540274,0.113888762,0.113888762,0.116705945,0.116705945
99,7,7,5,0.262201198,0.262201198,0.262488736,0.262488736,0.513903243,0.513903243
100,10,7,1,0.116763064,0.116763064,0.164306689,0.164306689,0.274008386,0.274008386
101,10,7,2,0.19815522,0.19815522,0.209218124,0.209218124,0.500493514,0.500493514
102,10,7,3,NaN,0.203890499,0.224622226,0.224625254,0.459939938,0.459971977
103,10,7,4,0.25568635,0.25568635,0.246454386,0.246454386,0.643229517,0.643229517
104,10,7,5,0.200390133,0.200390133,0.225230586,0.225230586,0.4250487,0.4250487
105,4,8,1,0.076989787,0.076989787,0.148592676,0.148592676,0.131272704,0.131272704
106,4,8,2,0.207366545,0.207366545,0.224469932,0.224469932,0.467011137,0.467011137
107,4,8,3,0.074213036,0.074213036,0.136268428,0.136268428,0.152392636,0.152392636
108,4,8,4,0.149094916,0.149094916,0.195884123,0.195884123,0.29960528,0.29960528
109,4,8,5,NaN,0.207296412,0.239160291,0.239156652,0.387543969,0.387533217
110,7,8,1,0.133532872,0.133532872,0.176757031,0.176757031,0.307228046,0.307228046
111,7,8,2,0.243839665,0.243839665,0.237046427,0.237046427,0.640485764,0.640485764
112,7,8,3,0.223477304,0.223477304,0.230356177,0.230356177,0.518901781,0.518901781
113,7,8,4,0.259135274,0.259135274,0.242848892,0.242848892,0.644248598,0.644248598
114,7,8,5,0.419317803,0.419317803,0.318717672,0.318717672,0.931205844,0.931205844
115,10,8,1,0.103152149,0.103152149,0.159972574,0.159972574,0.221629152,0.221629152
116,10,8,2,0.191579705,0.191579705,0.211647296,0.211647296,0.435154448,0.435154448
117,10,8,3,0.124850844,0.124850844,0.168664229,0.168664229,0.309037691,0.309037691
118,10,8,4,0.230445415,0.230445415,0.236558845,0.236558845,0.538871155,0.538871155
119,10,8,5,0.178333144,0.178333144,0.207687765,0.207687765,0.400353671,0.400353671
120,4,9,1,0.059047646,0.059047646,0.124984084,0.124984084,0.112792283,0.112792283
121,4,9,2,0.113726835,0.113726835,0.181475038,0.181475038,0.191267681,0.191267681
122,4,9,3,0.133373876,0.133373876,0.190816816,0.190816816,0.249693733,0.249693733
123,4,9,4,0.094036383,0.094036383,0.159689301,0.159689301,0.172781906,0.172781906
124,4,9,5,0.079434728,0.079434728,0.144409077,0.144409077,0.152252004,0.152252004
125,7,9,1,0.074096626,0.074096626,0.13643572,0.13643572,0.153907267,0.153907267
126,7,9,2,0.165315113,0.165315113,0.196354568,0.196354568,0.407449438,0.407449438
127,7,9,3,0.16899413,0.16899413,0.203243107,0.203243107,0.370318501,0.370318501
128,7,9,4,0.242935269,0.242935269,0.225532034,0.225532034,0.685473587,0.685473587
129,7,9,5,0.359680418,0.359680418,0.299168749,0.299168749,0.76751527,0.76751527
130,10,9,1,0.086298437,0.086298437,0.142237678,0.142237678,0.195336401,0.195336401
131,10,9,2,0.216455103,0.216455103,0.222182829,0.222182829,0.512899333,0.512899333
132,10,9,3,NaN,0.330108031,0.276556687,0.276555203,0.972386781,0.972324082
133,10,9,4,0.33724799,0.33724799,0.280426272,0.280426272,0.855557872,0.855557872
134,10,9,5,0.28263293,0.28263293,0.25416497,0.25416497,0.71078037,0.71078037
135,4,10,1,0.077521007,0.077521007,0.153330888,0.153330888,0.119300385,0.119300385
136,4,10,2,0.119893132,0.119893132,0.176388625,0.176388625,0.237772027,0.237772027
137,4,10,3,0.12423832,0.12423832,0.183239332,0.183239332,0.232653777,0.232653777
138,4,10,4,0.169519084,0.169519084,0.215191324,0.215191324,0.312883385,0.312883385
139,4,10,5,NaN,0.156727641,0.222142814,0.2221427,0.231950294,0.231955312
140,7,10,1,0.103083257,0.103083257,0.150180314,0.150180314,0.2624898,0.2624898
141,7,10,2,0.243478531,0.243478531,0.219423362,0.219423362,0.756487705,0.756487705
142,7,10,3,0.293426496,0.293426496,0.253217818,0.253217818,0.801157695,0.801157695
143,7,10,4,0.252101764,0.252101764,0.240097111,0.240097111,0.63700992,0.63700992
144,7,10,5,0.443875887,0.443875887,0.320200187,0.320200187,1.096977875,1.096977875
145,10,10,1,0.066089278,0.066089278,0.124896527,0.124896527,0.145242135,0.145242135
146,10,10,2,0.112772255,0.112772255,0.167521672,0.167521672,0.234007733,0.234007733
147,10,10,3,0.145405974,0.145405974,0.181650233,0.181650233,0.379768612,0.379768612
148,10,10,4,0.123964287,0.123964287,0.175481305,0.175481305,0.263657136,0.263657136
149,10,10,5,0.131794489,0.131794489,0.178373708,0.178373708,0.293243719,0.293243719
150,4,11,1,0.139793199,0.139793199,0.175555831,0.175555831,0.377990855,0.377990855
151,4,11,2,0.15064374,0.15064374,0.208331853,0.208331853,0.25539604,0.25539604
152,4,11,3,NaN,0.148760519,0.209811962,0.209818221,0.247689104,0.247687038
153,4,11,4,0.113934052,0.113934052,0.172195434,0.172195434,0.227206203,0.227206203
154,4,11,5,NaN,0.112783091,0.174391225,0.174380175,0.212306852,0.212273167
155,7,11,1,0.088976807,0.088976807,0.144162786,0.144162786,0.206945267,0.206945267
156,7,11,2,0.269539354,0.269539354,0.241599894,0.241599894,0.829082755,0.829082755
157,7,11,3,NaN,0.317576861,0.255703158,0.25571669,0.974391732,0.974551
158,7,11,4,NaN,0.250554544,0.240202124,0.240199911,0.625658259,0.625642575
159,7,11,5,0.451141211,0.451141211,0.324048602,0.324048602,1.080504644,1.080504644
160,10,11,1,0.133059569,0.133059569,0.167098826,0.167098826,0.357229435,0.357229435
161,10,11,2,0.327756986,0.327756986,0.257197423,0.257197423,1.06569911,1.06569911
162,10,11,3,0.299535298,0.299535298,0.258097274,0.258097274,0.852588212,0.852588212
163,10,11,4,0.317039861,0.317039861,0.261309278,0.261309278,0.90645065,0.90645065
164,10,11,5,0.346494978,0.346494978,0.269400555,0.269400555,1.029278398,1.029278398
165,4,12,1,0.050608787,0.050608787,0.11209743,0.11209743,0.105011713,0.105011713
166,4,12,2,0.163718651,0.163718651,0.209207909,0.209207909,0.31969588,0.31969588
167,4,12,3,0.099551194,0.099551194,0.163845455,0.163845455,0.183354911,0.183354911
168,4,12,4,0.053349757,0.053349757,0.123733168,0.123733168,0.091842754,0.091842754
169,4,12,5,NaN,0.11970546,0.175146773,0.17514686,0.242782668,0.242785041
170,7,12,1,0.076598006,0.076598006,0.138691981,0.138691981,0.160256165,0.160256165
171,7,12,2,0.178055087,0.178055087,0.203675811,0.203675811,0.44815344,0.44815344
172,7,12,3,0.158368064,0.158368064,0.196551131,0.196551131,0.360632319,0.360632319
173,7,12,4,0.316195023,0.316195023,0.274220215,0.274220215,0.779530434,0.779530434
174,7,12,5,0.408809587,0.408809587,0.312983949,0.312983949,0.939111813,0.939111813
175,10,12,1,0.093229215,0.093229215,0.151716728,0.151716728,0.198621749,0.198621749
176,10,12,2,0.149395601,0.149395601,0.189695288,0.189695288,0.324856606,0.324856606
177,10,12,3,0.224880236,0.224880236,0.226684114,0.226684114,0.597559316,0.597559316
178,10,12,4,0.228636866,0.228636866,0.226497777,0.226497777,0.596577226,0.596577226
179,10,12,5,0.235752962,0.235752962,0.231989825,0.231989825,0.583599388,0.583599388
180,4,13,1,0.059502978,0.059502978,0.120188128,0.120188128,0.1268592,0.1268592
181,4,13,2,NaN,0.214171854,0.232006319,0.23201094,0.46178706,0.461826082
182,4,13,3,NaN,0.16511412,0.212985734,0.212985791,0.306895374,0.306896531
183,4,13,4,NaN,0.201949213,0.235958353,0.235955944,0.369958728,0.369952018
184,4,13,5,0.075216134,0.075216134,0.133738481,0.133738481,0.162168265,0.162168265
185,7,13,1,0.16721497,0.16721497,0.187738519,0.187738519,0.47343827,0.47343827
186,7,13,2,0.236549699,0.236549699,0.206345991,0.206345991,1.067838811,1.067838811
187,7,13,3,0.307361508,0.307361508,0.243574154,0.243574154,1.025443274,1.025443274
188,7,13,4,NaN,0.34011595,0.277891597,0.277891614,0.883472344,0.883475956
189,7,13,5,0.580486194,0.580486194,0.33983675,0.33983675,1.96912152,1.96912152
190,10,13,1,0.111124911,0.111124911,0.160226044,0.160226044,0.255321132,0.255321132
191,10,13,2,0.185018749,0.185018749,0.208603788,0.208603788,0.419102638,0.419102638
192,10,13,3,0.179384285,0.179384285,0.199725269,0.199725269,0.471373957,0.471373957
193,10,13,4,0.184797402,0.184797402,0.210322498,0.210322498,0.424948416,0.424948416
194,10,13,5,0.260932069,0.260932069,0.251528246,0.251528246,0.589306224,0.589306224
195,4,14,1,0.034489646,0.034489646,0.098273948,0.098273948,0.060553804,0.060553804
196,4,14,2,0.105219541,0.105219541,0.169651088,0.169651088,0.192521336,0.192521336
197,4,14,3,NaN,0.213553272,0.236443099,0.236444108,0.432172695,0.432163067
198,4,14,4,NaN,0.127384183,0.191461814,0.191470496,0.217397263,0.217432762
199,4,14,5,NaN,0.287940001,0.286136368,0.286134638,0.51452794,0.514551351
200,7,14,1,0.072641449,0.072641449,0.133027649,0.133027649,0.155116826,0.155116826
201,7,14,2,0.211091255,0.211091255,0.224358433,0.224358433,0.529398418,0.529398418
202,7,14,3,0.224456803,0.224456803,0.230768474,0.230768474,0.549299157,0.549299157
203,7,14,4,0.164522496,0.164522496,0.204240408,0.204240408,0.337381631,0.337381631
204,7,14,5,0.30987172,0.30987172,0.281348869,0.281348869,0.631021643,0.631021643
205,10,14,1,0.163772855,0.163772855,0.187592686,0.187592686,0.44593069,0.44593069
206,10,14,2,0.339760463,0.339760463,0.267219932,0.267219932,0.951683896,0.951683896
207,10,14,3,0.334358012,0.334358012,0.271033221,0.271033221,0.900928301,0.900928301
208,10,14,4,0.415516615,0.415516615,0.301839636,0.301839636,1.184995498,1.184995498
209,10,14,5,0.364442444,0.364442444,0.286041851,0.286041851,0.950199335,0.950199335
210,4,15,1,0.071795901,0.071795901,0.146289172,0.146289172,0.114240684,0.114240684
211,4,15,2,0.086533447,0.086533447,0.147768507,0.147768507,0.180667769,0.180667769
212,4,15,3,0.211343752,0.211343752,0.245175135,0.245175135,0.375874324,0.375874324
213,4,15,4,NaN,0.147531968,0.201712419,0.201711753,0.270759806,0.270758697
214,4,15,5,0.122578708,0.122578708,0.174533303,0.174533303,0.25472054,0.25472054
215,7,15,1,0.089681402,0.089681402,0.146828519,0.146828519,0.199810892,0.199810892
216,7,15,2,0.184417482,0.184417482,0.198931193,0.198931193,0.503106743,0.503106743
217,7,15,3,0.174328261,0.174328261,0.208029697,0.208029697,0.385295545,0.385295545
218,7,15,4,0.338085093,0.338085093,0.275771196,0.275771196,0.898619903,0.898619903
219,7,15,5,0.335111168,0.335111168,0.287839742,0.287839742,0.730578801,0.730578801
220,10,15,1,0.077095163,0.077095163,0.131958334,0.131958334,0.18553627,0.18553627
221,10,15,2,0.22559805,0.22559805,0.223110727,0.223110727,0.586437724,0.586437724
222,10,15,3,0.194986478,0.194986478,0.207670586,0.207670586,0.545718446,0.545718446
223,10,15,4,0.175848822,0.175848822,0.205037297,0.205037297,0.417040613,0.417040613
224,10,15,5,0.273797084,0.273797084,0.244940124,0.244940124,0.77021733,0.77021733
225,4,16,1,0.077601768,0.077601768,0.138844679,0.138844679,0.162276969,0.162276969
226,4,16,2,0.135175622,0.135175622,0.19346501,0.19346501,0.247385901,0.247385901
227,4,16,3,0.140149192,0.140149192,0.195747086,0.195747086,0.263715324,0.263715324
228,4,16,4,0.049967517,0.049967517,0.112465184,0.112465184,0.099325657,0.099325657
229,4,16,5,0.087843964,0.087843964,0.145913319,0.145913319,0.185777409,0.185777409
